Presence of Pb,Presence of Cu,Purpose of the study,Main minerals/metals mined,Sample Number,Country,Top Region,Region/Province,corrected Region,District/Deposit Location,Sector details,Mine,Latitude,Longitude,Mineral analyzed,208Pb/206Pb,207Pb/206Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,Sources,Full reference
No Pb,Cu major,Archaeo,Cu,210,Afghanistan,,,Bezarak,,,unknown,34.379527,67.186112,Cu,0.7015,0.3115,59.6658711217184,18.5859188544153,41.8556085918855,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,Cu,239,Afghanistan,,,Bezarak,,,unknown,34.379527,67.186112,Cu,2.0721,0.8301,18.8217579521927,15.6239412761152,39.0005646527385,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,Cu,217,Afghanistan,,,Bezarak,,,unknown,34.379527,67.186112,Cu,1.4256,0.403,44.8430493273543,18.0717488789238,63.9282511210763,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,Cu,216,Afghanistan,,,Bezarak,,,unknown,34.379527,67.186112,Cu,1.8583,0.6284,24.9875062468766,15.7021489255373,46.4342828585708,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
Pb minor,Cu major,Archaeo,Cu,221,Afghanistan,,,Bezarak,,Bezarak,Hindukusch,34.9757144195525,71.0430317159447,Cu,2.0739,0.8338,18.8501413760603,15.7172478793591,39.0933081998115,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
Pb minor,Cu major,Archaeo,Cu,226,Afghanistan,,,Bezarak,,,Wostok,34.379527,67.186112,Cu,2.0918,0.8445,18.5322461082283,15.6504818383988,38.765752409192,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
Pb minor,Cu major,Archaeo,Cu,224,Afghanistan,,,Bezarak,,,Wostok,34.379527,67.186112,Cu,2.0916,0.8442,18.5563184264242,15.6652440155873,38.8123956207089,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,Copper mine,202,Afghanistan,,,Kabul,,Ainak,Kabul,34.5260131,69.1776476,Cu,1.7435,0.5887,27.7161862527716,16.3165188470066,48.3231707317073,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,"copper-bearing quartz vein, hosted in Proterozoic calcareous schist. Thein vein is up to 6 m thick and has been traced over a distance of 500 m",201,Afghanistan,,,Kabul,,Maydan,Kabul,34.47278,68.76972,Cu,2.091,0.8327,18.9000189000189,15.7380457380457,39.5199395199395,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,0.4 to 2.3% Cu,MA-150329,Afghanistan,,,Kabul,,,Mes Aynak (St. Kraus),34.2691263,69.3009086,Ore,1.6782,0.5727,28.527,16.337,47.875,"Thomalsky et al., 2019","Thomalsky, J., BrÑutigam, B., Karaucak, M., Kraus, S., 2019. Early mining and metal production in Afghanistan: The first year of investigations. ArchÑologische Mitteilungen aus Iran und Turan 45, 199-230."
